2021-10-11 11:36:39.689682;Dono mesmo;Ligar o bot;ligou o bot
2021-10-11 11:37:09.077107;hutner700#5080;//criar_materia teste teste;criado categoria
2021-10-11 11:39:52.469147;hutner700#5080;//criar_materia channel channel;criado categoria
