2021-08-26 11:20:44.324056;Dono mesmo;Ligar o bot;ligou o bot
2021-08-26 11:20:55.424665;hutner700#5080;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 11:23:54.415138;alencarjulia1#2689;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:30:22.185128;alencarjulia1#2689;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 11:30:27.919121;Jessica Rodrigues#8292;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:36:21.425643;Leticia Caroline#0819;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:40:59.601291;anne#7609;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:41:17.114512;Calaibra#3582;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:45:45.797700;hutner700#5080;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:47:42.330168;alencarjulia1#2689;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 11:51:13.899065;GuMacena#3278;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 11:51:19.583178;anne#7609;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 12:09:21.034628;anne#7609;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 12:09:21.328831;alencarjulia1#2689;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 12:13:32.106605;mateusaraujo#1390;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 12:17:41.422542;mateusaraujo#1390;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 12:18:48.321912;alencarjulia1#2689;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 12:20:34.256296;alanzzin_139#7797;//ola;Olá @alanzzin_139#7797!
2021-08-26 12:22:15.917546;Caio🍃#2700;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 12:22:37.318581;mateusaraujo#1390;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 12:22:59.801481;alanzzin_139#7797;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 12:26:48.829596;mateusaraujo#1390;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 12:28:43.419599;Flype#2015;//gaal 1;Enviado o print da Q4 para a pessoa
2021-08-26 12:29:30.015058;mateusaraujo#1390;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 12:38:26.051688;anne#7609;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 12:48:40.991596;alencarjulia1#2689;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 12:53:52.424537;alencarjulia1#2689;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 12:58:41.691150;anne#7609;//gaal 4;Enviado o print da Q4 para a pessoa
