2021-10-14 10:21:31.714727;Dono mesmo;Ligar o bot;ligou o bot
2021-10-14 10:22:12.464362;hutner700#5080;//criar cálcNúmérico;criado categoria
2021-10-14 10:24:06.581386;hutner700#5080;//criar análiseNumérica;criado categoria
